cid,MW
123610,831.9789999999996
123611,1728.0930000000014
123619,358.8500000000001
123620,427.3680000000001
123623,1213.4350000000004
123631,446.9100000000004
123634,901.238
123809,454.4360000000002
124087,310.828
125017,263.3809999999999
125889,159.22899999999998
127909,415.5740000000001
128549,402.49100000000016
129228,238.19699999999995
129806,481.54600000000016
130564,713.1370000000001
130881,558.5950000000004
131535,623.6780000000002
132804,421.4680000000001
132971,349.51800000000003
132999,468.59400000000034
134018,316.38200000000006
134019,325.37200000000007
134780,273.248
135113,192.25799999999995
145068,30.006
147740,662.9110000000003
147912,700.7910000000003
148121,477.4810000000003
148127,378.8990000000002
148191,1030.303
148192,704.8690000000001
148211,296.41400000000004
150310,414.4980000000003
150311,409.4320000000001
150610,475.5230000000002
151075,254.28899999999996
151165,534.4320000000002
151171,498.5860000000002
152945,528.5370000000001
153941,277.284
153994,456.3220000000001
154058,398.934
154256,530.6650000000005
156326,285.774
156418,393.87999999999994
157429,547.5750000000003
157688,816.9430000000001
157920,390.4670000000001
157921,181.619
158781,446.5110000000002
158786,513.5250000000003
159247,186.082
160036,757.3280000000004
160051,618.2630000000005
160352,496.50600000000026
163296,646.6390000000001
166548,1140.254
168625,184.216
168924,457.836
170361,211.26799999999997
171558,563.8370000000002
176870,393.4430000000002
179344,296.3260000000001
185457,367.3830000000001
192155,606.1560000000004
193962,435.28500000000014
197281,1058.1559999999995
197712,378.4280000000001
206527,407.4880000000003
208898,556.7690000000003
208902,259.349
208908,581.0690000000003
208920,620.8740000000003
213023,627.7460000000002
213039,547.6740000000003
213046,492.6890000000003
214339,354.28700000000003
216209,551.7690000000002
216210,471.5210000000002
216235,454.91300000000024
216237,448.9500000000003
216239,464.8310000000002
216258,1749.8470000000004
216326,259.265
216416,413.56100000000015
219024,390.3600000000001
219078,250.298
219084,681.7530000000004
219090,614.4110000000002
222786,360.4500000000001
315411,182.147
358641,543.6060000000002
441332,368.5140000000001
441382,665.7330000000003
443379,348.39900000000006
444006,620.7350000000001
