cid,name,pubchem_url,n_side_effects,smiles,side_effects_list
598,mesna,https://pubchem.ncbi.nlm.nih.gov/compound/598,67,C(CS(=O)(=O)O)S,Nausea; Headache; Dermatitis; Rash; Vomiting; Dizziness; Diarrhoea; Asthenia; Hypersensitivity; Abdominal pain; Gastrointestinal pain; Body temperature increased; Pain; Feeling abnormal; Fatigue; Constipation; Dyspnoea; Dyspepsia; Decreased appetite; Musculoskeletal discomfort; Insomnia; Somnolence; Hypotension; Paraesthesia; Thrombocytopenia; Hyperhidrosis; Tachycardia; Arthralgia; Cough; Oedema; Myalgia; Hypertension; Discomfort; Dry mouth; Chest pain; Anxiety; Confusional state; Anaemia; Convulsion; Leukopenia; Malaise; Back pain; Ill-defined disorder; Erythema; Dysgeusia; Flatulence; Alopecia; Chills; Flushing; Oedema peripheral; Arrhythmia; Pharyngitis; Rhinitis; Hepatitis; Haematuria; Pneumonia; Agranulocytosis; Conjunctivitis; Dysuria; Abdominal pain upper; Hypokalaemia; Pain in extremity; Dehydration; Face oedema; Nasal congestion; Injection site reaction; Lymphadenopathy
612,lactate,https://pubchem.ncbi.nlm.nih.gov/compound/612,6,CC(C(=O)O)O,Dermatitis; Rash; Pain; Skin disorder; Erythema; Eczema
679,DMSO,https://pubchem.ncbi.nlm.nih.gov/compound/679,1,CS(=O)C,Discomfort
681,dopamine,https://pubchem.ncbi.nlm.nih.gov/compound/681,11,C1=CC(=C(C=C1CCN)O)O,Nausea; Headache; Vomiting; Dyspnoea; Tachycardia; Hypertension; Anxiety; Palpitations; Bradycardia; Angina pectoris; Atrial fibrillation
698,estrone,https://pubchem.ncbi.nlm.nih.gov/compound/698,32,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)O,Nausea; Headache; Dermatitis; Rash; Vomiting; Dizziness; Pruritus; Abdominal pain; Urticaria; Pain; Musculoskeletal discomfort; Anaphylactic shock; Arthralgia; Oedema; Angioedema; Muscle spasms; Flatulence; Nervousness; Tension; Erythema multiforme; Acute coronary syndrome; Myocardial infarction; Depression; Pancreatitis; Abdominal distension; Asthma; Mood swings; Migraine; Irritability; Cerebrovascular accident; Purpura; Thrombophlebitis
699,Oestrogen,https://pubchem.ncbi.nlm.nih.gov/compound/699,74,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O,Nausea; Headache; Dermatitis; Rash; Vomiting; Dizziness; Diarrhoea; Pruritus; Asthenia; Hypersensitivity; Abdominal pain; Urticaria; Gastrointestinal pain; Body temperature increased; Gastrointestinal disorder; Pain; Fatigue; Constipation; Dyspepsia; Musculoskeletal discomfort; Insomnia; Somnolence; Paraesthesia; Skin disorder; Anaphylactic shock; Nervous system disorder; Infection; Arthralgia; Cough; Oedema; Myalgia; Anxiety; Angioedema; Vertigo; Palpitations; Back pain; Muscle spasms; Malnutrition; Mental disorder; Angiopathy; Mediastinal disorder; Immune system disorder; Flatulence; Alopecia; Nervousness; Tension; Cardiac disorder; Oedema peripheral; Eye disorder; Erythema multiforme; Pharyngitis; Rhinitis; Sinusitis; Infestation; Hepatobiliary disease; Acute coronary syndrome; Myocardial infarction; Upper respiratory tract infection; Weight increased; Depression; Pancreatitis; Abdominal distension; Influenza; Asthma; Breast disorder; Anaphylactoid reaction; Mood swings; Migraine; Irritability; Cerebrovascular accident; Purpura; Injury; Thrombophlebitis; Neoplasm
700,monoethanolamine,https://pubchem.ncbi.nlm.nih.gov/compound/700,6,C(CO)N,Body temperature increased; Pain; Anaphylactic shock; Chest pain; Pneumonia; Renal failure acute
727,lindane,https://pubchem.ncbi.nlm.nih.gov/compound/727,9,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,Headache; Dermatitis; Dizziness; Pruritus; Urticaria; Pain; Paraesthesia; Convulsion; Alopecia
738,glutamine,https://pubchem.ncbi.nlm.nih.gov/compound/738,47,C(CC(=O)N)C(C(=O)O)N,Nausea; Headache; Dermatitis; Rash; Vomiting; Dizziness; Pruritus; Asthenia; Hypersensitivity; Abdominal pain; Gastrointestinal pain; Body temperature increased; Pain; Feeling abnormal; Fatigue; Constipation; Musculoskeletal discomfort; Insomnia; Infection; Hyperhidrosis; Arthralgia; Oedema; Myalgia; Discomfort; Dry mouth; Chest pain; Malaise; Back pain; Ill-defined disorder; Malnutrition; Mental disorder; Angiopathy; Flatulence; Chills; Urethral disorder; Pharyngitis; Urinary tract disorder; Rhinitis; Neuropathy peripheral; Depression; Pancreatitis; Abdominal distension; Dehydration; Thirst; Injection site reaction; Sepsis; Hepatic function abnormal
750,glycine,https://pubchem.ncbi.nlm.nih.gov/compound/750,24,C(C(=O)O)N,Nausea; Vomiting; Dizziness; Diarrhoea; Hypersensitivity; Urticaria; Pain; Hypotension; Tachycardia; Oedema; Convulsion; Vertigo; Back pain; Vision blurred; Chills; Visual impairment; Rhinitis; Angina pectoris; Dehydration; Urinary retention; Hyponatraemia; Thirst; Thrombophlebitis; Polyuria
